Dataset name	Dataset Paper ID	Gold Reference Paper (Paper Id)	Gold Reference Table (Caption Id e.g., Table 1)	Table URL	Dataset name Aliases (seperated by comma)	Type of result (separated by commas)	Additiional datasets?	Notes
		-	-	-	-			
pubfig: public figures face	d3046251ec5d6e7f90ef5ef2b0ac885c01138555	9b1a70d6771547cbcf6ba646f8775614c0162aca	table 2	https://www.semanticscholar.org/paper/Combining-feature-extraction-and-expansion-to-impr-L%C3%B3pez-I%C3%B1esta-Grimaldo/9b1a70d6771547cbcf6ba646f8775614c0162aca/figure/3		equal error rate		
		9b1a70d6771547cbcf6ba646f8775614c0162aca	table 3	https://www.semanticscholar.org/paper/Combining-feature-extraction-and-expansion-to-impr-L%C3%B3pez-I%C3%B1esta-Grimaldo/9b1a70d6771547cbcf6ba646f8775614c0162aca/figure/5		equal error rate		
		9b1a70d6771547cbcf6ba646f8775614c0162aca	table 6	https://www.semanticscholar.org/paper/Combining-feature-extraction-and-expansion-to-impr-L%C3%B3pez-I%C3%B1esta-Grimaldo/9b1a70d6771547cbcf6ba646f8775614c0162aca/figure/10		equal error rate		
movie review	24ef4a9a7f65c8cb40608e4bc76ef6e2f1c24dd0	57e82ff478c9196a11a57d086949511d360b39b2	table 2	https://www.semanticscholar.org/paper/Decoding-Decoders%3A-Finding-Optimal-Representation/57e82ff478c9196a11a57d086949511d360b39b2/figure/3	MR	performance		
		57e82ff478c9196a11a57d086949511d360b39b2	table 3	https://www.semanticscholar.org/paper/Decoding-Decoders%3A-Finding-Optimal-Representation/57e82ff478c9196a11a57d086949511d360b39b2/figure/5		preformance		
		57e82ff478c9196a11a57d086949511d360b39b2	table 6	https://www.semanticscholar.org/paper/Decoding-Decoders%3A-Finding-Optimal-Representation/57e82ff478c9196a11a57d086949511d360b39b2/figure/8		performance		
reverb	189ed3f749766d02d42eb5b6d71017e085c212d4	08da7f399518a7e9bbbc029e07c07ced8bc0df0f	table 7	https://www.semanticscholar.org/paper/Assessing-and-Improving-Domain-Knowledge-Represent-Font-Zouaq/08da7f399518a7e9bbbc029e07c07ced8bc0df0f/figure/8		most frequent relations extracted		
		9994cb04a3980f4536c8afa8f3a3c4757e5de652	table 3	https://www.semanticscholar.org/paper/Domain-Targeted%2C-High-Precision-Knowledge-Extracti-Mishra-Tandon/9994cb04a3980f4536c8afa8f3a3c4757e5de652/figure/4		precision		
		-	-	-	-			
stanford 40 actions	856c09ab10efbc8c61a84a951746654d947370f3	0db003826f960f5e1445f5ccee00eeedc2450773	table III	https://www.semanticscholar.org/paper/Hierarchical-Spatial-Sum%26%23x2013%3BProduct-Networks-f-Wang-Wang/0db003826f960f5e1445f5ccee00eeedc2450773/figure/13	Stanford-40	mean average precision 		
		5d1fe57fa9a39d063e6778b8ca27313209cbca51	table 1	https://www.semanticscholar.org/paper/Scale-coding-bag-of-deep-features-for-human-attrib-Khan-Weijer/5d1fe57fa9a39d063e6778b8ca27313209cbca51/figure/1		mAP,MOP, FV-CNN, FV-CNN-SP		
		5d1fe57fa9a39d063e6778b8ca27313209cbca51	table 5	https://www.semanticscholar.org/paper/Scale-coding-bag-of-deep-features-for-human-attrib-Khan-Weijer/5d1fe57fa9a39d063e6778b8ca27313209cbca51/figure/9				
stanford synthetic object grasping point	e2decb6a36127ed5e229c17b08be5bf84f93d6ca	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
cmu seminar announcements	9ebae18ea1c12e8a4c12bfbc0bfb639004c21c87	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
biwi walking pedestrians	c2c3fd2c0744fcc31c2998d767e79685132047b8	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
youtube faces	560e0e58d0059259ddf86fcec1fa7975dee6a868	5dde5ce02b6370b29dfb21b29eb1a72683baea11	table 1	https://www.semanticscholar.org/paper/Neural-Class-Specific-Regression-for-face-verifica-Cao-Iosifidis/5dde5ce02b6370b29dfb21b29eb1a72683baea11/figure/4	youtube faces dataset	performance mean ERR%		
		22043cbd2b70cb8195d8d0500460ddc00ddb1a62	table 7	https://www.semanticscholar.org/paper/Separability-Oriented-Subclass-Discriminant-Analys-Wan-Wang/22043cbd2b70cb8195d8d0500460ddc00ddb1a62/figure/11	youtube 	ema		
		22043cbd2b70cb8195d8d0500460ddc00ddb1a62	table 8	https://www.semanticscholar.org/paper/Separability-Oriented-Subclass-Discriminant-Analys-Wan-Wang/22043cbd2b70cb8195d8d0500460ddc00ddb1a62/figure/13		run time		
depth and appearance for mobile scene analysis	4f4e5913c8e5a9c97e4aa8705021e40e5bd5eb0e	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
the million song dataset	5aaf311172b9778d78f6904fbe40124c63463b57	-	-	-	million song			
		-	-	-	-			
		-	-	-	-			
kitti	79b949d9b35c3f51dd20fb5c746cc81fc87147eb	34e2ece4125e3083af14680b45c749ec417ea42f	table 1	https://www.semanticscholar.org/paper/Learning-a-Bias-Correction-for-Lidar-only-Motion-E-Tang-Yoon/34e2ece4125e3083af14680b45c749ec417ea42f/figure/8		odometry errors 		
		513b11920f15a55ff4e3dd1a063c386b863d6679	table II	https://www.semanticscholar.org/paper/Real-time-CPU-based-large-scale-3D-mesh-reconstruc-Piazza-Romanoni/513b11920f15a55ff4e3dd1a063c386b863d6679/figure/13		run times		
		513b11920f15a55ff4e3dd1a063c386b863d6679	table III	https://www.semanticscholar.org/paper/Real-time-CPU-based-large-scale-3D-mesh-reconstruc-Piazza-Romanoni/513b11920f15a55ff4e3dd1a063c386b863d6679/figure/14		mean absolute error		
cdnet	3e61851326f6b3c1c7b4d1670c784a9118fa7d82	561c129cf06b8b3ae2f4c232ce6462329741de35	table IV	https://www.semanticscholar.org/paper/Pixel-Modeling-Using-Histograms-Based-on-Fuzzy-Par-Zeng-Jia/561c129cf06b8b3ae2f4c232ce6462329741de35/figure/13		performance scores		
		561c129cf06b8b3ae2f4c232ce6462329741de35	table V	https://www.semanticscholar.org/paper/Pixel-Modeling-Using-Histograms-Based-on-Fuzzy-Par-Zeng-Jia/561c129cf06b8b3ae2f4c232ce6462329741de35/figure/14		standard deviation		
		70fa9da670c23ab17e3bea434a21b55815ecc6cb	table 2	https://www.semanticscholar.org/paper/Review-of-background-subtraction-methods-using-Gau-Goyal-Singhai/70fa9da670c23ab17e3bea434a21b55815ecc6cb/figure/3		comparative results		
letor	e58b3338aeb359997c7fc2f4d761b253b5b80e0a	ac291287c907f51df767a1f9846f4ec453bb3a9f	table 3	https://www.semanticscholar.org/paper/Efficiently-Answering-Technical-Questions---A-Know-Yang-Zou/ac291287c907f51df767a1f9846f4ec453bb3a9f/figure/4		result for candidates re-ranking		
		2a44bc9a8af2047d006876066ac3f89d8b7211d7	table 3	https://www.semanticscholar.org/paper/Sensitive-and-Scalable-Online-Evaluation-with-Theo-Oosterhuis-Rijke/2a44bc9a8af2047d006876066ac3f89d8b7211d7/figure/3		ebin error		
		2a44bc9a8af2047d006876066ac3f89d8b7211d7	table 4	https://www.semanticscholar.org/paper/Sensitive-and-Scalable-Online-Evaluation-with-Theo-Oosterhuis-Rijke/2a44bc9a8af2047d006876066ac3f89d8b7211d7/figure/4		ebin error		
humaneva	080ce01c304d3fd562c9aa17d1b234d5fc4b4555	43ef2ce17b8f5d81326a5a34af75723e2d3e7804	table 4	https://www.semanticscholar.org/paper/2D-3D-Pose-Consistency-based-Conditional-Random-Fi-Chang-Lee/43ef2ce17b8f5d81326a5a34af75723e2d3e7804/figure/7	humaneva-I	3D errors		
		0112b4a8a8016ec0360506f5ccf25655487849e1	table 2	https://www.semanticscholar.org/paper/3D-Human-Pose-Estimation-from-a-Single-Image-via-D-Moreno-Noguer/0112b4a8a8016ec0360506f5ccf25655487849e1/figure/3		average overall joint error, average error of the occluded and hypothesized joints (in mm)		
		1a4cb5070b8e1d7d35435b9426342051d421f4a7	table 4	https://www.semanticscholar.org/paper/A-Simple-Yet-Effective-Baseline-for-3d-Human-Pose-Martinez-Hossain/1a4cb5070b8e1d7d35435b9426342051d421f4a7/figure/6		results 		
cambridge learner corpus	664e1a939f095e8718d92d3af1a9e2eb99823d71	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
arabic online commentary	b2e4d26f448e33da2cfae54d5abf67dd5b76a159	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
syntactic-ngrams	cad3ca0a113e2b44b592b08a0a9fe75139ac7a50	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
icsi meeting corpus	1503bcc5a850040e79f09665f699cbc5cdb23dbb	7b87d7ed9dea0edd03d82e96aeeff5d81105f7bc	table 3	https://www.semanticscholar.org/paper/Combining-Graph-Degeneracy-and-Submodularity-for-U-Tixier-Meladianos/7b87d7ed9dea0edd03d82e96aeeff5d81105f7bc/figure/5		recall, precision, F1		
		018fde4b542cd94c160bfc479cca091401094886	table 1	https://www.semanticscholar.org/paper/Real-Time-Keyword-Extraction-from-Conversations-Vazirgiannis-Tixier/018fde4b542cd94c160bfc479cca091401094886/figure/1		statistical signifigance		
		018fde4b542cd94c160bfc479cca091401094886	table 2	https://www.semanticscholar.org/paper/Real-Time-Keyword-Extraction-from-Conversations-Vazirgiannis-Tixier/018fde4b542cd94c160bfc479cca091401094886/figure/3		ROUGE, WMD		
nus corpus of learner english	d73d0ad692b4105f6f0c63a0bebf1eb8bdc8c918	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
ami meeting corpus	d928c4805dada374e168bdae6d45329ef31ff066	01e5ec2c6830b867879120bf11f4626fa8351970	table 12.7	https://www.semanticscholar.org/paper/Sequence-Discriminative-Training-of-Neural-Network-Chen-Zhang/01e5ec2c6830b867879120bf11f4626fa8351970/figure/5	AMI SDM, AMI IHM	performance %WER		
		619b299c1b2f20c0234a84d3712392d0badd81a8	table 5	https://www.semanticscholar.org/paper/An-investigation-into-learning-effective-speaker-s-Samarakoon-Sim/619b299c1b2f20c0234a84d3712392d0badd81a8/figure/4		performance %WER		
		619b299c1b2f20c0234a84d3712392d0badd81a8	table 6	https://www.semanticscholar.org/paper/An-investigation-into-learning-effective-speaker-s-Samarakoon-Sim/619b299c1b2f20c0234a84d3712392d0badd81a8/figure/5		performance %WER		
		619b299c1b2f20c0234a84d3712392d0badd81a8	table 7	https://www.semanticscholar.org/paper/An-investigation-into-learning-effective-speaker-s-Samarakoon-Sim/619b299c1b2f20c0234a84d3712392d0badd81a8/figure/6		performance %WER		
wikipedia xml corpus	4e5fd73c741099b0236d2c72cf824898718c0460	-	-	-	-	404 not found		
		-	-	-	-			
		-	-	-	-			
contemporary written japanese	68b620cce14833189d62c492d642b29b75488c58	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
ccgbank	cf7ba13c48a404b6c132207d20a2193497816cbd	e9bd71b5b122c6acd9492473e90f8fec7cdc417a	table 2	https://www.semanticscholar.org/paper/A-Dynamic-Window-Neural-Network-for-CCG-Supertaggi-Wu-Zhang/e9bd71b5b122c6acd9492473e90f8fec7cdc417a/figure/3	Japanese CCGbank	accuracy		
		16f3a1eeefcb561b98a1bd4a546f1519a301eb24	table 1	https://www.semanticscholar.org/paper/A*-CCG-Parsing-with-a-Supertag-and-Dependency-Fact-Yoshikawa-Noji/16f3a1eeefcb561b98a1bd4a546f1519a301eb24/figure/1		F1		
		16f3a1eeefcb561b98a1bd4a546f1519a301eb24	table 2	https://www.semanticscholar.org/paper/A*-CCG-Parsing-with-a-Supertag-and-Dependency-Fact-Yoshikawa-Noji/16f3a1eeefcb561b98a1bd4a546f1519a301eb24/figure/3		F1		
		16f3a1eeefcb561b98a1bd4a546f1519a301eb24	table 3	https://www.semanticscholar.org/paper/A*-CCG-Parsing-with-a-Supertag-and-Dependency-Fact-Yoshikawa-Noji/16f3a1eeefcb561b98a1bd4a546f1519a301eb24/figure/5		F1		
		16f3a1eeefcb561b98a1bd4a546f1519a301eb24	table 5	https://www.semanticscholar.org/paper/A*-CCG-Parsing-with-a-Supertag-and-Dependency-Fact-Yoshikawa-Noji/16f3a1eeefcb561b98a1bd4a546f1519a301eb24/figure/8		results?		
mctest	bd9bf1a1ece60491fb662b437dc85a4e809411e1	2f2f0f3f6def111907780d6580f6b0a7dfc9153c	table 3	https://www.semanticscholar.org/paper/Evaluation-Metrics-for-Machine-Reading-Comprehensi-Sugawara-Kido/2f2f0f3f6def111907780d6580f6b0a7dfc9153c/figure/2		% frequencies		
		2f2f0f3f6def111907780d6580f6b0a7dfc9153c	table 4	https://www.semanticscholar.org/paper/Evaluation-Metrics-for-Machine-Reading-Comprehensi-Sugawara-Kido/2f2f0f3f6def111907780d6580f6b0a7dfc9153c/figure/4		% frequencies		
		2f2f0f3f6def111907780d6580f6b0a7dfc9153c	table 5	https://www.semanticscholar.org/paper/Evaluation-Metrics-for-Machine-Reading-Comprehensi-Sugawara-Kido/2f2f0f3f6def111907780d6580f6b0a7dfc9153c/figure/5		results of readability metrics		
		2f2f0f3f6def111907780d6580f6b0a7dfc9153c	table 7	https://www.semanticscholar.org/paper/Evaluation-Metrics-for-Machine-Reading-Comprehensi-Sugawara-Kido/2f2f0f3f6def111907780d6580f6b0a7dfc9153c/figure/7		average number and distance apart of sentances		
imagenet	760a4d0db261642ec8449ad4ca120a3ab847932b	4078ea635412586f8214439f941745636d05b3d6	table III	https://www.semanticscholar.org/paper/Scene-Classification-via-Triplet-Networks-Liu-Huang/4078ea635412586f8214439f941745636d05b3d6/figure/15	subimagenet+UCM, subimagenet+N-R	accuracy comparison		
		4078ea635412586f8214439f941745636d05b3d6	table IV	https://www.semanticscholar.org/paper/Scene-Classification-via-Triplet-Networks-Liu-Huang/4078ea635412586f8214439f941745636d05b3d6/figure/16				
		af17312546ad1016ae7f2ceca1a4fd2a95f0946c	table III	https://www.semanticscholar.org/paper/Hashing-with-Angular-Reconstructive-Embeddings-Hu-Yang/af17312546ad1016ae7f2ceca1a4fd2a95f0946c/figure/5		map and precision		
hollywood2: human actions and scenes	b705317a618911b5f6e611181eeeece0a7079f80	6a248501e42f0c22f0b091e3a22c01197fa5cd2e	table 1	https://www.semanticscholar.org/paper/Improving-Bag-of-Visual-Words-model-using-visual-n-Hern%C3%A1ndez-Garc%C3%ADa-C%C3%B3zar/6a248501e42f0c22f0b091e3a22c01197fa5cd2e/figure/1		classification accuracy		
		6a248501e42f0c22f0b091e3a22c01197fa5cd2e	table 2	https://www.semanticscholar.org/paper/Improving-Bag-of-Visual-Words-model-using-visual-n-Hern%C3%A1ndez-Garc%C3%ADa-C%C3%B3zar/6a248501e42f0c22f0b091e3a22c01197fa5cd2e/figure/3		classification accuracy, frame per second accuracy		
		6a248501e42f0c22f0b091e3a22c01197fa5cd2e	table 5	https://www.semanticscholar.org/paper/Improving-Bag-of-Visual-Words-model-using-visual-n-Hern%C3%A1ndez-Garc%C3%ADa-C%C3%B3zar/6a248501e42f0c22f0b091e3a22c01197fa5cd2e/figure/6		map 		
svitchboard	34e6f9005cf8ed6ee1ebda6bdc7c961065472762	-	-	-	-	no cited by		
		-	-	-	-			
		-	-	-	-			
ig02	f57208b6b299267843b7976b2cda633c5e855c68	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
paraphrase discovery	8cc357c000c8c7df95015a6818c42648804105f5	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
ucf50	393e296732aab0c0502a3898258df3a88d33952d	6e7a80c377e405c1e5ccd4d698f5bde990b2be52	table 1	https://www.semanticscholar.org/paper/Action-recognition-by-saliency-based-dense-samplin-Xu-Hu/6e7a80c377e405c1e5ccd4d698f5bde990b2be52/figure/1		HOG+HOF+MBH		
		6e7a80c377e405c1e5ccd4d698f5bde990b2be52	table 2	https://www.semanticscholar.org/paper/Action-recognition-by-saliency-based-dense-samplin-Xu-Hu/6e7a80c377e405c1e5ccd4d698f5bde990b2be52/figure/3		trajectories, features extraction speed		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 1	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/1		accuracy and effciency 		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 2	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/3		accuracy vs. processing time		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 3	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/5		performance comparison		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 4	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/7		computational cost and accuracy		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 5	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/9		performance comparsion		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 6	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/11		accuracy and computational cost		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 7	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/12		frame sampling rate and accuracy		
		98127346920bdce9773aba6a2ffc8590b9558a4a	table 10	https://www.semanticscholar.org/paper/Efficient-human-action-recognition-using-histogram-Duta-Uijlings/98127346920bdce9773aba6a2ffc8590b9558a4a/figure/16		comparison to state of the art		
proposition bank	837c2bf28887fc1a00e1b1148e5df748809da242	-	-	-	PropBank			
		-	-	-	-			
		-	-	-	-			
learning human actions from movies	8d0ea6d9a4f4b32b49a6642aeeb42785a25277d0	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
the zebrafish model organism	f951b09330bc2ecb83d3c4731e435a57c7d8060a	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
mit traffic	995e1162b7189b51e8bd014134ee45b9eef9856e	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
voc	b6bebfd529b233f00cb854b7d8070319600cf59d	ccb27d726c0b799e800a63eac18a33bf262852aa	table 1	https://www.semanticscholar.org/paper/Conditional-Random-Fields-Meet-Deep-Neural-Network-Arnab-Zheng/ccb27d726c0b799e800a63eac18a33bf262852aa/figure/1	Pascal VOC, VOC12	IoU%		
		ccb27d726c0b799e800a63eac18a33bf262852aa	table 2	https://www.semanticscholar.org/paper/Conditional-Random-Fields-Meet-Deep-Neural-Network-Arnab-Zheng/ccb27d726c0b799e800a63eac18a33bf262852aa/figure/3		IoU%		
		c17a72780c35e0a4f2d294b4c3faab23da4b50ba	table IV	https://www.semanticscholar.org/paper/Deep-Crisp-Boundaries%3A-From-Boundaries-to-Higher-l-Wang-Zhao/c17a72780c35e0a4f2d294b4c3faab23da4b50ba/figure/14		performance		
actom annotations for action detection	0dc7e973ac27adaeae86143c4b6b8bf97bed762c	-	-	-	-			404 not found
		-	-	-	-			
		-	-	-	-			
libsvm data: classification, regression, and multi-label	78f4f74de487a37a8f705e5ef1aebe9b2caf7690	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
semcor	f9a25e0dc776857fc24ebc7115c980312f2719b1	4b35c9ec36b1f96b07952dcf9ab7b7cc14dbfc71	table 1	https://www.semanticscholar.org/paper/Grammatical-Role-Embeddings-for-Enhancements-of-Re-Simov-Popov/4b35c9ec36b1f96b07952dcf9ab7b7cc14dbfc71/figure/0		results		
		4b35c9ec36b1f96b07952dcf9ab7b7cc14dbfc71	table 2	https://www.semanticscholar.org/paper/Grammatical-Role-Embeddings-for-Enhancements-of-Re-Simov-Popov/4b35c9ec36b1f96b07952dcf9ab7b7cc14dbfc71/figure/1		results		
		9bdc4c5f6ba780f30ae081be7af34262af9a60a5	table 3	https://www.semanticscholar.org/paper/Train-O-Matic%3A-Large-Scale-Supervised-Word-Sense-D-Pasini-Navigli/9bdc4c5f6ba780f30ae081be7af34262af9a60a5/figure/2		F1		
		9bdc4c5f6ba780f30ae081be7af34262af9a60a5	table 6	https://www.semanticscholar.org/paper/Train-O-Matic%3A-Large-Scale-Supervised-Word-Sense-D-Pasini-Navigli/9bdc4c5f6ba780f30ae081be7af34262af9a60a5/figure/5		performance comparison 		
		9bdc4c5f6ba780f30ae081be7af34262af9a60a5	table 7	https://www.semanticscholar.org/paper/Train-O-Matic%3A-Large-Scale-Supervised-Word-Sense-D-Pasini-Navigli/9bdc4c5f6ba780f30ae081be7af34262af9a60a5/figure/6		performance comparison 		
optimal reinsertion	c5d5a21536fc1b0c9d0ed02a1fc2a7508e52d5d8	-	-	-	-			404 not found
		-	-	-	-			
		-	-	-	-			
iam handwriting	cbefffc89ea05195a2d0d1224204d8b3ff10108b	-	-	-	-			404 not found
		-	-	-	-			
		-	-	-	-			
caltech	aedb8df8f953429ec5a6df99fda5c5d71dbee4ff	0fa077478abea097a1b74915ccaaeb4952eaaec7	table II	https://www.semanticscholar.org/paper/Object-Classification-With-Joint-Projection-and-Lo-Foroughi-Ray/0fa077478abea097a1b74915ccaaeb4952eaaec7/figure/12	caltech 101 dataset	recognition rates		
		0fa077478abea097a1b74915ccaaeb4952eaaec7	table III	https://www.semanticscholar.org/paper/Object-Classification-With-Joint-Projection-and-Lo-Foroughi-Ray/0fa077478abea097a1b74915ccaaeb4952eaaec7/figure/13		recognition rates		
		49919485aef3e9b9d79a2cfc2e82520b5ab06873	table 1	https://www.semanticscholar.org/paper/End-to-End-Lifelong-Learning%3A-a-Framework-to-Achie-Hao-Fan/49919485aef3e9b9d79a2cfc2e82520b5ab06873/figure/1		error rates		
		49919485aef3e9b9d79a2cfc2e82520b5ab06873	table 2	https://www.semanticscholar.org/paper/End-to-End-Lifelong-Learning%3A-a-Framework-to-Achie-Hao-Fan/49919485aef3e9b9d79a2cfc2e82520b5ab06873/figure/3		performance		
		49919485aef3e9b9d79a2cfc2e82520b5ab06873	table 3	https://www.semanticscholar.org/paper/End-to-End-Lifelong-Learning%3A-a-Framework-to-Achie-Hao-Fan/49919485aef3e9b9d79a2cfc2e82520b5ab06873/figure/5		performance		
h3d	55b29a2505149d06d8c1d616cd30edca40cb029c	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
stanford background	dc08847b65953ef2ae3542e47b08b57a46b5ba34	e18a0ea7b83fddc22d6061906b6ba532ece4c8b1	table 1	https://www.semanticscholar.org/paper/Non-parametric-context-based-object-classification-Roncevic-Braovic/e18a0ea7b83fddc22d6061906b6ba532ece4c8b1/figure/1	SBD	confusion matrix		
		e18a0ea7b83fddc22d6061906b6ba532ece4c8b1	table 2	https://www.semanticscholar.org/paper/Non-parametric-context-based-object-classification-Roncevic-Braovic/e18a0ea7b83fddc22d6061906b6ba532ece4c8b1/figure/2		confusion matrix		
		e18a0ea7b83fddc22d6061906b6ba532ece4c8b1	table 3	https://www.semanticscholar.org/paper/Non-parametric-context-based-object-classification-Roncevic-Braovic/e18a0ea7b83fddc22d6061906b6ba532ece4c8b1/figure/4		confusion matrix		
		e18a0ea7b83fddc22d6061906b6ba532ece4c8b1	table 4	https://www.semanticscholar.org/paper/Non-parametric-context-based-object-classification-Roncevic-Braovic/e18a0ea7b83fddc22d6061906b6ba532ece4c8b1/figure/6		confusion matrix		
		e18a0ea7b83fddc22d6061906b6ba532ece4c8b1	table 5	https://www.semanticscholar.org/paper/Non-parametric-context-based-object-classification-Roncevic-Braovic/e18a0ea7b83fddc22d6061906b6ba532ece4c8b1/figure/8		accuracy		
berkeley segmentation	8de22fba50048b89642d57a6f71e338f8a57cc87	8234c8d04dced6dd92df3077a564baccfaff96e8	table 1	https://www.semanticscholar.org/paper/Deep-Shrinkage-Convolutional-Neural-Network-for-Ad-Isogawa-Ida/8234c8d04dced6dd92df3077a564baccfaff96e8/figure/6	BSD68, BSDS, BSDS500	average PSNR		
		8f2933617e320fc74b0a72d54ce33a977dcf6a0e	table I	https://www.semanticscholar.org/paper/Computation-and-Memory-Efficient-Image-Segmentatio-Zhou-Do/8f2933617e320fc74b0a72d54ce33a977dcf6a0e/figure/10		score of segmentation	note: include methods, but don't cite specific papers	
		8f2933617e320fc74b0a72d54ce33a977dcf6a0e	table II	https://www.semanticscholar.org/paper/Computation-and-Memory-Efficient-Image-Segmentatio-Zhou-Do/8f2933617e320fc74b0a72d54ce33a977dcf6a0e/figure/11		region benchmarks		
		8f2933617e320fc74b0a72d54ce33a977dcf6a0e	table III	https://www.semanticscholar.org/paper/Computation-and-Memory-Efficient-Image-Segmentatio-Zhou-Do/8f2933617e320fc74b0a72d54ce33a977dcf6a0e/figure/12				
		8f2933617e320fc74b0a72d54ce33a977dcf6a0e	table IV	https://www.semanticscholar.org/paper/Computation-and-Memory-Efficient-Image-Segmentatio-Zhou-Do/8f2933617e320fc74b0a72d54ce33a977dcf6a0e/figure/13		region benchmarks		
		8f2933617e320fc74b0a72d54ce33a977dcf6a0e	table V	https://www.semanticscholar.org/paper/Computation-and-Memory-Efficient-Image-Segmentatio-Zhou-Do/8f2933617e320fc74b0a72d54ce33a977dcf6a0e/figure/14		boundary benchmarks		
		8f2933617e320fc74b0a72d54ce33a977dcf6a0e	table VI	https://www.semanticscholar.org/paper/Computation-and-Memory-Efficient-Image-Segmentatio-Zhou-Do/8f2933617e320fc74b0a72d54ce33a977dcf6a0e/figure/15		memory usage and the computation time		
stanford helicopter	5fc69f93422b11c944b2d53e9d2f93295eca3d19	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
uby	aa6331a5a336efd76a6e933509490fece941f126	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
dbpedia	2b2c30dfd3968c5d9418bb2c14b2382d3ccc64b2	a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 3	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/5		evaluation results		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 4	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/7		evaluation results 		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 5	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/9		evaluation results		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 6	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/11		evaluation results for dimension relevancy		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 7	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/13		evaluation results for dimestion completeness		
		a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8	table 8	https://www.semanticscholar.org/paper/Linked-data-quality-of-DBpedia%2C-Freebase%2C-OpenCyc%2C-F%C3%A4rber-Bartscherer/a531fb4d4e91c79adf6d81928e1ca5e64dcab3e8/figure/15		metric values of mccol		
